event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,65,65,1743774,1848326,1743774,20,0,1000,0,0,6
2,64,129,1780285,1815788,764559,20,29,1000,1,0,14
3,63,192,1124013,1145013,272534,10,7,1005,1,0,4
4,71,263,3374882,3416210,321210,30,7,1007,1,0,7
5,64,327,286415,293650,89079,5,7,1010,1,0,8
6,20,347,11412631,11438314,1317020,100,7,1013,0,0,-1
7,70,417,3399943,3456777,1258366,30,13,1011,0,0,4
8,104,521,10828,11210,217934,1,17,1019,1,0,21
9,63,584,1324136,1340917,102464,15,18,1025,1,0,5
10,75,659,2895010,2949611,108090,25,18,1035,0,0,5
11,34,693,8452891,8504126,162429,70,25,1040,1,0,4
12,56,749,1103137,1120754,83759,10,27,1038,1,0,5
13,30,779,7947669,8042945,177151,65,27,1038,0,0,8
14,79,858,1189370,1210039,113907,10,16,1038,1,0,11
15,48,906,6668850,6678167,157965,55,31,1036,3,0,7
16,68,974,3823975,3853849,218686,35,61,1038,5,0,0
17,59,1033,8627700,8636925,475814,70,41,1043,1,0,9
18,43,1076,6538209,6633878,530701,55,41,1044,0,0,0
19,56,1132,1028344,1037555,324266,10,67,1042,1,0,4
20,76,1208,82528,86553,124519,1,67,1041,0,0,9
21,72,1280,319280,333930,62841,5,67,1042,0,0,8
22,46,1326,3599650,3629486,50001,30,50,1041,1,0,9
23,52,1378,3040067,3064559,31121,25,39,1043,1,0,9
24,78,1456,418282,422266,15919,5,16,1041,3,0,12
25,74,1530,1452177,1479083,13617,15,1,1047,1,0,8
26,70,1600,2592432,2654897,12775,25,1,1050,0,0,8
27,52,1652,3394303,3422908,10455,30,5,1050,1,0,13
28,79,1731,852201,875534,8222,10,5,1055,0,0,1
29,84,1815,490014,507122,2705,5,5,1057,0,0,7
30,55,1870,2077037,2093462,3127,20,88,1058,2,0,16
31,63,1933,1084449,1093370,2683,10,47,1056,3,0,6
32,60,1993,2060526,2129372,2526,20,47,1060,0,0,8
33,89,2082,1879418,1901233,8497,15,47,1058,0,0,8
34,43,2125,3948567,4014065,16333,35,88,1055,0,0,2
35,60,2185,3015536,3040901,14185,25,15,1060,1,0,7
36,103,2288,164046,168618,5930,5,7,1059,1,0,0
37,64,2352,101779,106199,892,1,7,1059,0,0,3
