event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,67,67,1392305,1425911,1392305,15,0,1000,0,0,5
2,59,126,2759251,2778918,984663,30,0,1001,0,0,10
3,67,189,652072,653000,385511,10,55,1006,3,4,7
4,81,266,1079428,1083682,257913,10,5,1006,2,4,10
5,37,303,8204141,8234549,600548,70,5,1010,0,0,17
6,73,376,733237,743339,297578,10,5,1010,0,0,6
7,75,451,2268668,2277684,245399,20,16,1014,2,0,7
8,60,511,4953394,4975789,383717,45,16,1017,0,0,16
9,36,547,9958762,9968320,709344,85,5,1018,2,0,5
10,75,622,3046176,3062857,673952,25,3,1018,1,0,7
11,55,677,638099,647114,369763,10,3,1016,0,0,8
12,67,744,249279,250460,115175,5,5,1014,2,0,10
13,38,782,4717487,4735435,159143,40,3,1017,1,0,6
14,97,879,47848,48428,37663,1,6,1018,0,0,19
15,79,958,222994,225079,8831,5,6,1028,0,0,16
16,75,1033,2070570,2076373,11074,20,8,1041,3,0,0
17,82,1115,2679780,2688987,11713,25,12,1047,2,0,5
18,43,1158,6898167,6913715,15719,55,26,1049,2,0,24
19,58,1216,749672,752288,5671,10,17,1050,1,0,4
20,65,1281,546781,555159,2700,5,17,1050,0,0,5
21,59,1340,2810029,2820049,2443,25,34,1044,2,0,14
22,40,1380,6100914,6139154,2795,50,34,1050,0,0,18
23,41,1421,7790458,7800403,2886,65,54,1053,2,0,9
24,77,1498,475200,479156,1460,5,27,1057,1,0,0
25,78,1576,778932,786007,981,10,19,1060,1,0,15
26,61,1637,5471086,5500802,1725,45,19,1061,0,0,9
27,44,1681,7156638,7167892,2158,60,18,1059,2,0,18
28,86,1767,315769,319306,1154,5,13,1062,1,0,3
29,92,1859,144119,146413,232,5,13,1062,0,0,5
30,54,1913,2129170,2155739,276,20,13,1065,0,0,10
31,65,1978,791255,794688,229,10,70,1059,3,0,0
32,38,2016,9621256,9624831,770,75,80,1062,1,0,1
33,104,2120,791623,801906,1455,10,49,1053,0,0,6
34,76,2196,64701,68514,603,1,49,1053,0,0,10
35,53,2249,5679749,5691446,721,45,43,1057,1,0,23
36,97,2346,462714,467133,320,5,27,1059,1,0,10
37,22,2368,7134158,7147099,402,55,4,1061,1,0,13
