element_in,element_in_cost,element_out,element_out_cost,entry,event,time
666,90,136,68,4492850,37,2026-05-15T17:23:22.483413Z
257,52,344,39,4492850,36,2026-05-09T00:45:49.863829Z
387,70,235,104,4492850,36,2026-05-09T00:45:49.858584Z
329,60,242,51,4492850,34,2026-04-24T17:27:36.319987Z
749,43,338,53,4492850,34,2026-04-24T16:53:13.661758Z
369,39,139,45,4492850,34,2026-04-24T16:46:02.857205Z
1,60,470,40,4492850,34,2026-04-24T16:46:02.857054Z
637,42,344,39,4492850,34,2026-04-24T16:46:02.856869Z
373,62,411,50,4492850,34,2026-04-24T16:46:02.856715Z
568,51,151,45,4492850,34,2026-04-24T16:46:02.856561Z
694,46,77,41,4492850,34,2026-04-24T16:46:02.856406Z
381,140,783,55,4492850,34,2026-04-24T16:46:02.856234Z
450,80,235,105,4492850,34,2026-04-24T16:46:02.856041Z
515,75,82,82,4492850,34,2026-04-24T16:46:02.855851Z
242,51,807,55,4492850,34,2026-04-24T16:46:02.855689Z
338,53,430,144,4492850,34,2026-04-24T16:46:02.855525Z
596,72,136,68,4492850,34,2026-04-24T16:46:02.855297Z
344,39,347,38,4492850,32,2026-04-10T16:49:25.447725Z
624,76,337,62,4492850,32,2026-04-10T16:41:53.986317Z
807,55,485,73,4492850,32,2026-04-10T16:41:53.986113Z
783,55,329,57,4492850,32,2026-04-10T16:41:53.985898Z
235,106,242,50,4492850,32,2026-04-10T16:41:53.985676Z
82,82,47,74,4492850,32,2026-04-10T16:41:53.985425Z
347,38,683,40,4492850,32,2026-04-10T16:41:53.985212Z
411,50,373,61,4492850,32,2026-04-10T16:41:53.984990Z
151,45,317,45,4492850,32,2026-04-10T16:41:53.984768Z
139,45,674,48,4492850,32,2026-04-10T16:41:53.984443Z
337,62,666,88,4492850,31,2026-03-20T18:07:10.649716Z
674,48,1,59,4492850,31,2026-03-20T18:07:10.649315Z
485,73,82,79,4492850,31,2026-03-20T18:07:10.641799Z
373,60,226,57,4492850,28,2026-02-24T00:32:02.975965Z
77,40,261,44,4492850,28,2026-02-24T00:32:02.968757Z
666,88,661,87,4492850,26,2026-02-10T17:15:34.382675Z
261,44,151,45,4492850,26,2026-02-10T17:15:34.382241Z
1,59,287,55,4492850,26,2026-02-10T17:15:34.374058Z
449,96,16,100,4492850,25,2026-02-03T14:40:37.824720Z
226,57,260,49,4492850,24,2026-01-31T13:23:35.669750Z
82,77,414,86,4492850,23,2026-01-24T10:52:30.692011Z
151,45,113,45,4492850,20,2026-01-03T03:18:54.330874Z
47,75,82,75,4492850,20,2026-01-03T03:18:54.330484Z
5,65,373,59,4492850,20,2026-01-03T03:18:54.330094Z
287,55,1,59,4492850,20,2026-01-03T03:18:54.324608Z
329,54,547,49,4492850,16,2025-12-13T01:33:52.364547Z
661,85,283,78,4492850,16,2025-12-13T01:33:52.363845Z
113,45,575,46,4492850,16,2025-12-13T01:33:52.363338Z
414,87,160,61,4492850,16,2025-12-13T01:33:52.362679Z
16,102,381,140,4492850,16,2025-12-13T01:33:52.355489Z
151,45,373,59,4492850,15,2025-12-06T02:26:32.036700Z
414,84,82,75,4492850,15,2025-12-06T02:26:32.036366Z
291,54,260,49,4492850,15,2025-12-06T02:26:32.036126Z
477,49,575,46,4492850,15,2025-12-06T02:26:32.035883Z
736,57,1,59,4492850,15,2025-12-06T02:26:32.035622Z
485,72,547,49,4492850,15,2025-12-06T02:26:32.035308Z
252,42,136,65,4492850,15,2025-12-06T02:26:32.035053Z
714,75,283,79,4492850,15,2025-12-06T02:26:32.034743Z
547,49,427,53,4492850,14,2025-12-02T17:24:12.744187Z
1,59,32,50,4492850,14,2025-12-02T17:24:12.736374Z
32,50,287,55,4492850,13,2025-11-29T13:27:50.817498Z
136,63,560,55,4492850,12,2025-11-22T01:05:01.054863Z
373,59,5,63,4492850,12,2025-11-22T00:59:28.703004Z
283,77,249,74,4492850,10,2025-11-01T00:02:13.319924Z
160,60,582,67,4492850,10,2025-11-01T00:02:13.318981Z
317,45,74,45,4492850,10,2025-11-01T00:02:13.310550Z
560,55,661,86,4492850,6,2025-09-26T23:12:42.958144Z
430,143,654,64,4492850,6,2025-09-26T23:12:42.957957Z
582,66,235,104,4492850,6,2025-09-26T23:12:42.957760Z
260,47,508,50,4492850,6,2025-09-26T23:12:42.957567Z
683,40,370,59,4492850,6,2025-09-26T23:12:42.957375Z
74,45,256,56,4492850,6,2025-09-26T23:12:42.957183Z
5,61,145,44,4492850,6,2025-09-26T23:12:42.956978Z
287,55,220,50,4492850,6,2025-09-26T23:12:42.956671Z
82,74,267,65,4492850,4,2025-09-12T20:13:56.941480Z
256,56,402,60,4492850,4,2025-09-12T20:13:56.935688Z
