season_name,total_points,rank
2017/18,1745,3235611
2018/19,2314,45944
2019/20,2218,224997
2020/21,2234,692698
2021/22,2170,1395079
2022/23,2048,4642289
2023/24,1959,5280083
2024/25,2528,70400
