season_name,total_points,rank
2010/11,1789,672097
2011/12,1929,337258
2012/13,2017,185719
2013/14,2218,242898
2014/15,2253,2873
2015/16,2140,123807
2016/17,1919,1045193
2017/18,1518,4666456
2019/20,2460,210
2020/21,2331,249094
2021/22,2264,829407
2022/23,2487,214421
2023/24,2578,8472
2024/25,2464,237183
